id,dataSvolgimento,stato,allenatore_id,atleta_id,descrizione,durata,titolo
38,2024-02-26,0,16,71,Sessione di allenamento 38,PT71M,Allenamento Boxe #38
39,2023-10-03,0,49,71,Sessione di allenamento 39,PT93M,Allenamento Judo #39
41,2024-03-16,0,16,78,Sessione di allenamento 41,PT104M,Allenamento Tennis #41
43,2023-08-09,0,7,106,Sessione di allenamento 43,PT47M,Allenamento Calcio #43
45,2023-02-03,0,36,87,Sessione di allenamento 45,PT39M,Allenamento Ginnastica #45
48,2024-01-19,0,13,128,Sessione di allenamento 48,PT95M,Allenamento Ginnastica #48
49,2024-10-21,0,3,55,Sessione di allenamento 49,PT47M,Allenamento Tennis #49
50,2024-08-28,0,10,128,Sessione di allenamento 50,PT95M,Allenamento Ciclismo #50
51,2023-11-03,0,11,101,Sessione di allenamento 51,PT108M,Allenamento Calcio #51
52,2023-11-20,0,46,123,Sessione di allenamento 52,PT68M,Allenamento Lotta #52
53,2022-02-04,0,22,137,Sessione di allenamento 53,PT44M,Allenamento Ginnastica #53
58,2022-11-07,0,45,77,Sessione di allenamento 58,PT82M,Allenamento Judo #58
60,2023-10-28,0,34,99,Sessione di allenamento 60,PT70M,Allenamento Ciclismo #60
61,2024-07-30,0,35,96,Sessione di allenamento 61,PT116M,Allenamento Calcio #61
63,2023-04-06,0,50,87,Sessione di allenamento 63,PT120M,Allenamento Pallacanestro #63
64,2024-09-28,0,31,95,Sessione di allenamento 64,PT101M,Allenamento Calcio #64
65,2023-08-13,0,37,137,Sessione di allenamento 65,PT99M,Allenamento Ginnastica #65
68,2024-09-08,0,13,119,Sessione di allenamento 68,PT64M,Allenamento Judo #68
69,2023-07-11,0,7,129,Sessione di allenamento 69,PT105M,Allenamento Pallacanestro #69
70,2023-05-12,0,43,118,Sessione di allenamento 70,PT58M,Allenamento Pallacanestro #70
71,2022-04-18,0,27,93,Sessione di allenamento 71,PT90M,Allenamento Atletica #71
72,2022-10-09,0,36,71,Sessione di allenamento 72,PT82M,Allenamento Lotta #72
73,2024-09-04,0,49,87,Sessione di allenamento 73,PT71M,Allenamento Calcio #73
74,2022-05-02,0,42,124,Sessione di allenamento 74,PT59M,Allenamento Judo #74
75,2022-03-18,0,27,73,Sessione di allenamento 75,PT34M,Allenamento Ginnastica #75
76,2024-10-11,0,48,88,Sessione di allenamento 76,PT34M,Allenamento Nuoto #76
77,2023-09-04,0,22,87,Sessione di allenamento 77,PT88M,Allenamento Judo #77
79,2023-01-30,0,22,71,Sessione di allenamento 79,PT88M,Allenamento Calcio #79
81,2023-01-31,0,40,132,Sessione di allenamento 81,PT81M,Allenamento Ginnastica #81
82,2024-11-21,0,6,102,Sessione di allenamento 82,PT115M,Allenamento Atletica #82
84,2023-06-19,0,16,108,Sessione di allenamento 84,PT64M,Allenamento Tennis #84
85,2023-09-11,0,17,134,Sessione di allenamento 85,PT76M,Allenamento Pallacanestro #85
86,2022-05-08,0,30,90,Sessione di allenamento 86,PT50M,Allenamento Ginnastica #86
87,2024-10-26,0,45,66,Sessione di allenamento 87,PT111M,Allenamento Calcio #87
90,2023-03-24,0,44,147,Sessione di allenamento 90,PT106M,Allenamento Atletica #90
91,2024-12-12,0,34,141,Sessione di allenamento 91,PT76M,Allenamento Atletica #91
93,2022-11-03,0,21,117,Sessione di allenamento 93,PT86M,Allenamento Atletica #93
94,2023-02-25,0,6,116,Sessione di allenamento 94,PT87M,Allenamento Nuoto #94
95,2024-07-17,0,33,104,Sessione di allenamento 95,PT88M,Allenamento Boxe #95
97,2023-06-06,0,48,78,Sessione di allenamento 97,PT104M,Allenamento Atletica #97
