id,dataSvolgimento,stato,allenatore_id,atleta_id,descrizione,durata,titolo
84,2023-06-19,1,16,108,Sessione di allenamento 84,PT64M,Allenamento Tennis #84
85,2023-09-11,0,17,134,Sessione di allenamento 85,PT76M,Allenamento Pallacanestro #85
86,2022-05-08,0,30,90,Sessione di allenamento 86,PT50M,Allenamento Ginnastica #86
87,2024-10-26,1,45,66,Sessione di allenamento 87,PT111M,Allenamento Calcio #87
88,2024-01-23,0,15,68,Sessione di allenamento 88,PT91M,Allenamento Ciclismo #88
89,2024-07-20,1,27,140,Sessione di allenamento 89,PT100M,Allenamento Lotta #89
90,2023-03-24,0,44,147,Sessione di allenamento 90,PT106M,Allenamento Atletica #90
91,2024-12-12,1,34,141,Sessione di allenamento 91,PT76M,Allenamento Atletica #91
92,2022-08-18,0,36,115,Sessione di allenamento 92,PT55M,Allenamento Boxe #92
93,2022-11-03,0,21,117,Sessione di allenamento 93,PT86M,Allenamento Atletica #93
94,2023-02-25,1,6,116,Sessione di allenamento 94,PT87M,Allenamento Nuoto #94
95,2024-07-17,0,33,104,Sessione di allenamento 95,PT88M,Allenamento Boxe #95
96,2022-04-29,1,44,90,Sessione di allenamento 96,PT32M,Allenamento Ginnastica #96
97,2023-06-06,0,48,78,Sessione di allenamento 97,PT104M,Allenamento Atletica #97
98,2022-04-03,1,23,140,Sessione di allenamento 98,PT38M,Allenamento Judo #98
99,2022-05-04,0,31,55,Sessione di allenamento 99,PT66M,Allenamento Ginnastica #99
100,2023-01-04,0,50,133,Sessione di allenamento 100,PT112M,Allenamento Ginnastica #100
